name,mvvm,hcontainer,qemu_x86_64,qemu_aach64,native
a=b linpack.aot,33.597456,21.068,36.012,0.051,24.056
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,10.116758,29.039,1187.058,0.051,7.054
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",939.389244,0.001,0.045,0.051,0.006
OMP_NUM_THREADS=4 tc.aot,0.00049,0.012,0.029,0.048,0.003
OMP_NUM_THREADS=4 bt.aot,69.410827,131.075,1869.096,0.051,0.005
OMP_NUM_THREADS=4 cg.aot,29.317632,20.012,161.058,0.052,7.027
OMP_NUM_THREADS=4 ft.aot,15.010672,52.047,1550.071,0.051,0.005
OMP_NUM_THREADS=4 lu.aot,0.060571,0.047,1.067,0.051,0.006
OMP_NUM_THREADS=4 mg.aot,27.543796,13.053,764.02,0.051,0.005
OMP_NUM_THREADS=4 sp.aot,42.649225,1.08,55.073,0.05,2.062
a=b redis.aot,51.861305,124.087,368.022,0.055,0.004
a=b hdastar.aot maze-6404.txt 8,11.936914,0.012,11.067,0.049,0.002
