name,mvvm,native
a=b linpack.aot,20.35297,20.66
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1756.614537,42.94
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,337.642205,121.89
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,207.854911,30.53
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,752.853794,45.95
OMP_NUM_THREADS=4 tc.aot -g20 -n1,79.425973,72.74
OMP_NUM_THREADS=4 bt.aot,225.563336,85.54
OMP_NUM_THREADS=4 cg.aot,105.84309,77.18
OMP_NUM_THREADS=4 ft.aot,109.382876,121.67
OMP_NUM_THREADS=4 lu.aot,0.100862,11.82
OMP_NUM_THREADS=4 mg.aot,77.988457,24.91
OMP_NUM_THREADS=4 sp.aot,45.716619,18.69
a=b redis.aot,440.105842,17.94
a=b linpack.aot,20.292488,0.01
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1752.427599,5.22
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,650.273267,0.33
OMP_NUM_THREADS=4 bt.aot,221.060635,14.13
OMP_NUM_THREADS=4 cg.aot,83.902382,20.33
OMP_NUM_THREADS=4 ft.aot,108.55405,44.84
OMP_NUM_THREADS=4 lu.aot,0.099944,119.79
OMP_NUM_THREADS=4 mg.aot,76.068425,27.62
OMP_NUM_THREADS=4 sp.aot,44.252397,42.72
a=b redis.aot,436.661554,69.35
a=b linpack.aot,20.311249,85.2
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1750.945471,74.77
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,257.6362,110.62
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,640.248003,11.23
OMP_NUM_THREADS=4 cg.aot,83.665063,24.33
OMP_NUM_THREADS=4 ft.aot,108.397934,18.3
OMP_NUM_THREADS=4 lu.aot,0.099937,17.42
OMP_NUM_THREADS=4 mg.aot,75.730582,0.01
OMP_NUM_THREADS=4 sp.aot,43.246373,5.12
a=b redis.aot,431.965889,0.33
a=b linpack.aot,20.12319,14.09
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1744.854772,39.9
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,323.408531,44.77
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,639.228057,113.31
OMP_NUM_THREADS=4 tc.aot -g20 -n1,77.180237,26.02
OMP_NUM_THREADS=4 bt.aot,219.571527,40.97
OMP_NUM_THREADS=4 cg.aot,84.089276,66.71
OMP_NUM_THREADS=4 ft.aot,108.373259,83.37
OMP_NUM_THREADS=4 lu.aot,0.101511,74.52
OMP_NUM_THREADS=4 mg.aot,75.808051,109.91
OMP_NUM_THREADS=4 sp.aot,43.507578,11.2
a=b redis.aot,430.646313,24.33
a=b linpack.aot,20.154494,18.35
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1747.744954,17.41
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,172.685799,0.01
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,639.321099,5.13
OMP_NUM_THREADS=4 tc.aot -g20 -n1,77.176157,0.33
OMP_NUM_THREADS=4 bt.aot,220.643829,14.1
OMP_NUM_THREADS=4 cg.aot,83.617502,39.88
OMP_NUM_THREADS=4 ft.aot,108.375996,45.27
OMP_NUM_THREADS=4 lu.aot,0.099423,113.14
OMP_NUM_THREADS=4 mg.aot,75.713318,26.04
OMP_NUM_THREADS=4 sp.aot,43.262573,40.21
a=b redis.aot,432.311077,66.82
a=b linpack.aot,20.127186,82.89
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1747.198434,74.58
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,639.339902,109.45
OMP_NUM_THREADS=4 tc.aot -g20 -n1,77.189113,11.2
OMP_NUM_THREADS=4 bt.aot,220.017367,24.33
OMP_NUM_THREADS=4 cg.aot,83.987663,18.4
OMP_NUM_THREADS=4 ft.aot,108.316253,17.44
OMP_NUM_THREADS=4 lu.aot,0.099739,0.01
OMP_NUM_THREADS=4 mg.aot,75.808478,5.14
OMP_NUM_THREADS=4 sp.aot,43.184115,0.33
a=b redis.aot,434.06413,14.12
a=b linpack.aot,20.094815,39.9
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1745.192042,44.79
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,132.498137,114.2
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,172.928574,26.28
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,640.216479,42.41
OMP_NUM_THREADS=4 bt.aot,219.973081,71.27
OMP_NUM_THREADS=4 cg.aot,84.080505,88.08
OMP_NUM_THREADS=4 ft.aot,108.467563,78.59
OMP_NUM_THREADS=4 lu.aot,0.099886,118.62
OMP_NUM_THREADS=4 mg.aot,75.930483,11.84
OMP_NUM_THREADS=4 sp.aot,43.790822,25.45
a=b redis.aot,433.181533,19.2
a=b linpack.aot,20.113912,18.3
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1746.466368,0.01
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,724.950474,5.35
OMP_NUM_THREADS=4 cg.aot,88.982113,0.34
OMP_NUM_THREADS=4 ft.aot,109.39976,14.33
OMP_NUM_THREADS=4 lu.aot,0.103163,20.81
OMP_NUM_THREADS=4 mg.aot,78.80666,45.05
OMP_NUM_THREADS=4 sp.aot,47.4579,124.98
a=b redis.aot,442.873866,31.32
a=b linpack.aot,20.899038,45.88
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1770.61544,73.34
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,275.526444,89.22
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,728.232795,82.17
OMP_NUM_THREADS=4 tc.aot -g20 -n1,80.402936,137.1
OMP_NUM_THREADS=4 bt.aot,230.24286,12.21
OMP_NUM_THREADS=4 cg.aot,88.678567,25.57
OMP_NUM_THREADS=4 ft.aot,110.228341,19.05
OMP_NUM_THREADS=4 lu.aot,0.101845,18.26
OMP_NUM_THREADS=4 mg.aot,79.984639,0.01
OMP_NUM_THREADS=4 sp.aot,47.672618,5.37
a=b redis.aot,451.670712,0.35
a=b linpack.aot,21.172726,14.89
a=b rgbd_tum.aot ./ORBvoc.txt ./TUM3.yaml ./ ./associations/fr1_xyz.txt,1792.986851,20.88
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,777.678223,42.92
OMP_NUM_THREADS=4 cg.aot,90.86123,132.78
OMP_NUM_THREADS=4 ft.aot,112.358934,30.47
OMP_NUM_THREADS=4 lu.aot,0.105421,45.61
OMP_NUM_THREADS=4 mg.aot,81.579015,74.44
OMP_NUM_THREADS=4 sp.aot,50.432014,89.91
a=b redis.aot,452.357001,79.91
